title,url,published_date,publisher
Bitcoin Crashes After Chinese Exchange Says It Will Halt Trading - Bloomberg,https://www.bloomberg.com/news/articles/2017-09-14/bitcoin-tumbles-as-chinese-exchange-says-it-will-halt-trading,2017-09-14T07:00:00+00:00,"{'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}"
"Equifax’s stock has fallen 31% since breach disclosure, erasing $5 billion in market cap - MarketWatch",https://www.marketwatch.com/story/equifaxs-stock-has-fallen-31-since-breach-disclosure-erasing-5-billion-in-market-cap-2017-09-14,2017-09-14T07:00:00+00:00,"{'name': 'MarketWatch', 'url': 'https://www.marketwatch.com'}"
Coinbase Vets Talk New Fund: Want Returns? Think Beyond Bitcoin - CoinDesk,https://www.coindesk.com/markets/2017/09/14/coinbase-vets-talk-new-fund-want-returns-think-beyond-bitcoin/,2017-09-14T07:00:00+00:00,"{'name': 'CoinDesk', 'url': 'https://www.coindesk.com'}"
This Silicon Valley start-up wants to replace lawyers with robots - The Washington Post,https://www.washingtonpost.com/news/innovations/wp/2017/09/14/this-silicon-valley-startup-wants-to-replace-lawyers-with-robots/,2017-09-14T07:00:00+00:00,"{'name': 'The Washington Post', 'url': 'https://www.washingtonpost.com'}"
Equifax Breach: Two Executives Step Down as Investigation Continues (Published 2017) - The New York Times,https://www.nytimes.com/2017/09/14/business/equifax-hack-what-we-know.html,2017-09-14T07:00:00+00:00,"{'name': 'The New York Times', 'url': 'https://www.nytimes.com'}"
The 2017 Most Innovative Women in Food and Drink - Fortune,https://fortune.com/2017/09/14/innovative-women-food-drink-2017/,2017-09-14T07:00:00+00:00,"{'name': 'Fortune', 'url': 'https://fortune.com'}"
North Korea still making millions from small arms exports - CNN,https://money.cnn.com/2017/09/14/news/north-korea-small-arms-trade/index.html,2017-09-14T07:00:00+00:00,"{'name': 'CNN', 'url': 'https://money.cnn.com'}"
We Need to Talk About Black Students Being Accused of Rape Under Title IX - Reason,https://reason.com/2017/09/14/we-need-to-talk-about-black-students-bei/,2017-09-14T07:00:00+00:00,"{'name': 'Reason', 'url': 'https://reason.com'}"
Hedge Funds Are Hacking Blockchains to Guide Crypto Investments - Bloomberg,https://www.bloomberg.com/news/articles/2017-09-14/hedge-funds-are-hacking-blockchains-to-guide-crypto-investments,2017-09-14T07:00:00+00:00,"{'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}"
"'I'm Appalled,' Says Source of Phony Number Used to Justify Harsh Sex Offender Laws - Reason",https://reason.com/2017/09/14/im-appalled-says-source-of-pseudo-statis/,2017-09-14T07:00:00+00:00,"{'name': 'Reason', 'url': 'https://reason.com'}"
