title,url,published_date,publisher
"Customers Can Spend Bitcoin At Starbucks, Nordstrom And Whole Foods, Whether They Like It Or Not - Forbes",https://www.forbes.com/sites/michaeldelcastillo/2019/05/13/starbucks-nordstrom-and-whole-foods-now-accept-bitcoin-just-dont-ask-them/,2019-05-13T07:00:00+00:00,"{'name': 'Forbes', 'url': 'https://www.forbes.com'}"
"Bitcoin Price Rises to Nearly $8,000 On Longest Streak Since 2013 - Bloomberg",https://www.bloomberg.com/news/articles/2019-05-13/bitcoin-vaults-above-7-000-as-cryptocurrency-rally-gains-steam,2019-05-13T07:00:00+00:00,"{'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}"
"Bitcoin climbs back above $7,000 and is now up 90% year to date - CNBC",https://www.cnbc.com/2019/05/13/bitcoin-price-cryptocurrency-climbs-back-above-7000.html,2019-05-13T07:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
"$7,900: Bitcoin's Price Extends Gains to Hit 9-Month High - CoinDesk",https://www.coindesk.com/markets/2019/05/13/7900-bitcoins-price-extends-gains-to-hit-9-month-high/,2019-05-13T07:00:00+00:00,"{'name': 'CoinDesk', 'url': 'https://www.coindesk.com'}"
Flexa goes live with cryptocurrency payment network and mobile app - CryptoNinjas,https://www.cryptoninjas.net/2019/05/13/flexa-goes-live-with-cryptocurrency-mobile-app-and-payment-network/,2019-05-13T07:00:00+00:00,"{'name': 'CryptoNinjas', 'url': 'https://www.cryptoninjas.net'}"
Real Estate and Cryptocurrency | Detroit Real Estate Investment - The Real Deal,https://therealdeal.com/miami/2019/05/13/miami-investor-starts-crypto-platform-for-real-estate-investment/,2019-05-13T07:00:00+00:00,"{'name': 'The Real Deal', 'url': 'https://therealdeal.com'}"
Bitcoin miner maker Bitmain cuts own mining hash power by 88% - Notebookcheck.net,https://www.notebookcheck.net/Bitcoin-miner-maker-Bitmain-cuts-own-mining-hash-power-by-88.420369.0.html,2019-05-09T07:00:00+00:00,"{'name': 'Notebookcheck.net', 'url': 'https://www.notebookcheck.net'}"
Charitable Contributions by S Corporations - The CPA Journal,https://www.cpajournal.com/2019/05/13/charitable-contributions-by-s-corporations/,2019-05-13T07:00:00+00:00,"{'name': 'The CPA Journal', 'url': 'https://www.cpajournal.com'}"
Experts urge expansion of home-based cardiac rehabilitation - American Heart Association News,https://www.heart.org/en/news/2019/05/13/experts-urge-expansion-of-home-based-cardiac-rehabilitation,2019-05-13T07:00:00+00:00,"{'name': 'American Heart Association News', 'url': 'https://www.heart.org'}"
Nym Technologies Raises $2.5 Million to Anonymize Crypto Apps - CoinDesk,https://www.coindesk.com/business/2019/05/13/nym-technologies-raises-25-million-to-anonymize-crypto-apps/,2019-05-13T07:00:00+00:00,"{'name': 'CoinDesk', 'url': 'https://www.coindesk.com'}"
Self-Proclaimed Bitcoin Inventor Says Fortune Inaccessible - Bloomberg,https://www.bloomberg.com/news/articles/2019-06-28/self-proclaimed-bitcoin-inventor-says-fortune-inaccessible,2019-06-28T07:00:00+00:00,"{'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}"
"The World's Top Stock Market? Right Now, It's Russia (Published 2019) - The New York Times",https://www.nytimes.com/2019/06/28/business/russia-markets.html,2019-06-28T07:00:00+00:00,"{'name': 'The New York Times', 'url': 'https://www.nytimes.com'}"
CNBC-shilled cryptocurrency exchange Bitsane pulls exit scam on 246K users - TNW,https://thenextweb.com/news/cnbc-shilled-cryptocurrency-exchange-bitsane-pulls-exit-scam-on-246k-users,2019-06-28T07:00:00+00:00,"{'name': 'TNW', 'url': 'https://thenextweb.com'}"
"Stocks rise to close out Dow's biggest June gain since 1938, S&P 500's best first half in 2 decades - CNBC",https://www.cnbc.com/2019/06/28/stock-market-trump-xi-meeting-at-the-g-20-summit-in-focus.html,2019-06-28T07:00:00+00:00,"{'name': 'CNBC', 'url': 'https://www.cnbc.com'}"
Who owes the most student debt? | Brookings - Brookings Institution,https://www.brookings.edu/articles/who-owes-the-most-student-debt/,2019-06-28T07:00:00+00:00,"{'name': 'Brookings Institution', 'url': 'https://www.brookings.edu'}"
Captain Cryptocurrency: GC of Hedera Hashgraph Expertly Navigates Crypto's Murky Regulatory Waters | Corporate ... - Law.com,https://www.law.com/corpcounsel/2019/06/28/captain-cryptocurrency/,2019-06-28T07:00:00+00:00,"{'name': 'Law.com', 'url': 'https://www.law.com'}"
"Death, theft and darkness in the search for rare truffles - Marketplace",https://www.marketplace.org/2019/06/28/undergound-black-truffles-france-ryan-jacobs/,2019-06-28T07:00:00+00:00,"{'name': 'Marketplace', 'url': 'https://www.marketplace.org'}"
Billionaire Investor Henry Kravis Makes First Crypto Investment - CoinDesk,https://www.coindesk.com/markets/2019/06/28/billionaire-investor-henry-kravis-makes-first-crypto-investment/,2019-06-28T07:00:00+00:00,"{'name': 'CoinDesk', 'url': 'https://www.coindesk.com'}"
