date,open,high,low,close,movement,percent
2020-03-12,7913.62,7929.12,4860.35,4970.79,Depreciated,-59.2
2015-01-14,223.89,223.89,171.51,178.1,Depreciated,-25.71
2017-09-14,3875.37,3920.6,3153.86,3154.95,Depreciated,-22.83
2015-08-18,257.93,257.99,211.08,211.08,Depreciated,-22.2
2018-01-16,13836.1,13843.1,10194.9,11490.5,Depreciated,-20.41
2018-02-05,8270.54,8364.84,6756.68,6955.27,Depreciated,-18.91
2022-06-13,26737.58,26795.59,22141.26,22487.39,Depreciated,-18.9
2015-01-13,267.39,268.28,219.91,225.86,Depreciated,-18.39
2016-01-15,430.26,430.26,364.33,364.33,Depreciated,-18.1
2022-11-09,18543.76,18590.46,15682.69,15880.78,Depreciated,-16.77
2017-01-11,908.11,919.45,762.77,777.76,Depreciated,-16.76
2019-06-27,13017.13,13311.14,10491.85,11182.81,Depreciated,-16.4
2021-05-19,42944.98,43546.12,30681.5,37002.44,Depreciated,-16.06
2021-05-12,56714.53,57939.36,49150.54,49150.54,Depreciated,-15.39
2018-11-19,5620.78,5620.78,4842.91,4871.49,Depreciated,-15.38
2021-01-21,35549.4,35552.68,30250.75,30825.7,Depreciated,-15.32
2019-07-16,10896.65,10996.63,9448.11,9477.64,Depreciated,-14.97
2017-12-22,15898.0,15943.4,11833.0,13831.8,Depreciated,-14.94
2017-01-05,1156.73,1191.1,910.42,1013.38,Depreciated,-14.15
2017-12-30,14681.9,14681.9,12350.1,12952.2,Depreciated,-13.35
2017-03-18,1099.69,1114.07,957.66,973.82,Depreciated,-12.93
2019-09-24,9729.32,9804.32,8370.8,8620.57,Depreciated,-12.86
2015-11-10,379.98,381.39,329.11,336.82,Depreciated,-12.81
2015-01-28,263.35,266.54,227.05,233.91,Depreciated,-12.59
2021-06-21,35641.14,35721.64,31295.94,31676.69,Depreciated,-12.52
2021-09-07,52660.48,52853.77,43285.21,46811.13,Depreciated,-12.5
2022-05-09,34060.02,34222.07,30296.95,30296.95,Depreciated,-12.42
2017-01-06,1014.24,1046.81,883.94,902.2,Depreciated,-12.42
2018-11-24,4347.69,4413.09,3795.16,3880.76,Depreciated,-12.03
2015-01-03,314.85,315.15,281.08,281.08,Depreciated,-12.01
2018-01-30,11306.8,11307.2,10036.2,10106.3,Depreciated,-11.88
2016-06-22,665.91,678.67,587.48,596.12,Depreciated,-11.71
2018-01-11,14968.2,15018.8,13105.9,13405.8,Depreciated,-11.65
2022-01-21,40699.61,41060.53,35791.43,36457.32,Depreciated,-11.64
2018-02-01,10237.3,10288.8,8812.28,9170.54,Depreciated,-11.63
2017-07-15,2230.12,2231.14,1990.41,1998.86,Depreciated,-11.57
2018-03-14,9214.65,9355.85,8068.59,8269.81,Depreciated,-11.43
2018-03-29,7979.07,7994.33,7081.38,7165.7,Depreciated,-11.35
2020-09-03,11407.19,11443.02,10182.46,10245.3,Depreciated,-11.34
2015-03-18,285.07,285.34,249.87,256.3,Depreciated,-11.23
2022-08-19,23213.31,23213.31,20868.85,20877.55,Depreciated,-11.19
2018-01-21,12889.2,12895.9,11288.2,11600.1,Depreciated,-11.11
2022-11-08,20600.67,20664.61,17603.54,18541.27,Depreciated,-11.11
2017-06-12,2953.22,2997.26,2518.56,2659.63,Depreciated,-11.04
2021-02-23,54204.93,54204.93,45290.59,48824.43,Depreciated,-11.02
2019-07-14,11381.02,11451.2,10234.58,10256.06,Depreciated,-10.97
2018-02-04,9175.7,9334.87,8031.22,8277.01,Depreciated,-10.86
2022-06-16,22576.3,22868.92,20265.23,20381.65,Depreciated,-10.77
2017-03-24,1038.45,1040.47,934.36,937.52,Depreciated,-10.77
2016-08-02,606.4,612.85,531.33,547.47,Depreciated,-10.76
2018-06-22,6737.88,6747.08,6006.6,6083.69,Depreciated,-10.75
2018-11-14,6351.24,6371.55,5544.09,5738.35,Depreciated,-10.68
2018-06-10,7499.55,7499.55,6709.07,6786.02,Depreciated,-10.51
2016-06-21,735.88,735.88,639.07,666.65,Depreciated,-10.38
2019-06-30,11931.99,12178.38,10799.01,10817.16,Depreciated,-10.31
2021-09-20,47261.41,47328.2,42598.91,42843.8,Depreciated,-10.31
2022-09-13,22371.48,22673.82,20062.67,20296.71,Depreciated,-10.22
2021-11-26,58960.29,59183.48,53569.77,53569.77,Depreciated,-10.06
