date,open,high,low,close,movement,percent
2022-02-28,37706.0,43760.46,37518.21,43193.23,Apreciated,12.7
2022-02-04,37149.27,41527.79,37093.63,41500.88,Apreciated,10.49
2021-06-09,33416.98,37537.37,32475.87,37345.12,Apreciated,10.52
2021-05-24,34700.36,39835.14,34551.08,38705.98,Apreciated,10.35
2021-02-08,38886.83,46203.93,38076.32,46196.46,Apreciated,15.82
2020-04-29,7806.71,8871.75,7786.05,8801.04,Apreciated,11.3
2020-03-19,5245.42,6329.74,5236.97,6191.19,Apreciated,15.28
2019-10-25,7490.7,8691.54,7479.98,8660.7,Apreciated,13.51
2019-06-28,11162.17,12445.17,10914.5,12407.33,Apreciated,10.04
2019-05-19,7267.96,8261.94,7267.96,8197.69,Apreciated,11.34
2019-05-13,6971.18,8047.41,6898.28,7814.92,Apreciated,10.8
2019-05-11,6379.67,7333.0,6375.7,7204.77,Apreciated,11.45
2019-04-02,4156.92,4905.95,4155.32,4879.88,Apreciated,14.82
2018-11-28,3822.47,4385.9,3822.47,4257.42,Apreciated,10.22
2018-04-12,6955.38,7899.23,6806.51,7889.25,Apreciated,11.84
2018-01-05,15477.2,17705.2,15202.8,17429.5,Apreciated,11.2
2017-12-26,14036.6,16461.2,14028.9,16099.8,Apreciated,12.82
2017-12-07,14266.1,17899.7,14057.3,17899.7,Apreciated,20.3
2017-12-06,11923.4,14369.1,11923.4,14291.5,Apreciated,16.57
2017-10-12,4829.58,5446.91,4822.0,5446.91,Apreciated,11.33
2017-09-18,3591.09,4079.23,3591.09,4065.2,Apreciated,11.66
2017-09-15,3166.3,3733.45,2946.62,3637.52,Apreciated,12.95
2017-08-05,2897.63,3290.01,2874.83,3252.91,Apreciated,10.92
2017-07-20,2269.89,2900.7,2269.89,2817.6,Apreciated,19.44
2017-07-17,1932.62,2230.49,1932.62,2228.41,Apreciated,13.27
2016-05-28,473.03,533.47,472.7,530.04,Apreciated,10.76
2015-11-03,361.87,417.9,357.65,403.42,Apreciated,10.3
2015-01-15,176.9,229.07,176.9,209.84,Apreciated,15.7
2014-11-12,367.98,429.72,367.98,423.56,Apreciated,13.12
